run_no,timestamp,xLeaderReal,vLeaderReal,aLeaderReal,xFollowerReal,vFollowerReal,aFollowerReal,xLeaderReal_next,vLeaderReal_next,aLeaderReal_next,xFollowerReal_next,vFollowerReal_next,aFollowerReal_next,spacing,speed_difference,follower_id,leader_id
7,140.2,3833.76725,27.035,0.6,3777.47645,21.0865,0.61,3836.47075,27.0945,0.49,3779.5851,21.147,0.6,51.29079999999976,-5.948499999999999,78,18
7,140.3,3836.47075,27.0945,0.49,3779.5851,21.147,0.6,3839.1802,27.1435,0.59,3781.6998,21.206999999999997,0.51,51.88565000000017,-5.947500000000002,78,18
7,140.4,3839.1802,27.1435,0.59,3781.6998,21.206999999999997,0.51,3841.89455,27.20300000000001,0.6,3783.8205,21.2575,0.6,52.48039999999992,-5.936500000000002,78,18
7,140.5,3841.89455,27.20300000000001,0.6,3783.8205,21.2575,0.6,3844.61485,27.2625,0.49,3785.94625,21.3175,0.6,53.07405000000017,-5.94550000000001,78,18
7,140.6,3844.61485,27.2625,0.49,3785.94625,21.3175,0.6,3847.3411,27.3115,0.5,3788.078,21.378,0.6,53.66859999999997,-5.945,78,18
7,140.7,3847.3411,27.3115,0.5,3788.078,21.378,0.6,3850.07225,27.361,0.6,3790.2158,21.438000000000002,0.61,54.26310000000012,-5.933499999999999,78,18
7,140.8,3850.07225,27.361,0.6,3790.2158,21.438000000000002,0.61,3852.80835,27.4205,0.49,3792.3596,21.4985,0.6,54.85645000000022,-5.922999999999998,78,18
7,140.9,3852.80835,27.4205,0.49,3792.3596,21.4985,0.6,3855.5504,27.47,0.49,3794.50945,21.5585,0.5,55.44875000000002,-5.922000000000001,78,18
7,141.0,3855.5504,27.47,0.49,3794.50945,21.5585,0.5,3858.2974,27.519000000000002,0.39,3796.6653,21.6085,0.6,56.040950000000066,-5.9115,78,18
7,141.1,3858.2974,27.519000000000002,0.39,3796.6653,21.6085,0.6,3861.0493,27.5585,0.49,3798.82615,21.6685,0.6,56.63209999999981,-5.9105000000000025,78,18
7,141.2,3861.0493,27.5585,0.49,3798.82615,21.6685,0.6,3863.80515,27.6075,0.39,3800.993,21.7285,0.6,57.22315000000026,-5.889999999999997,78,18
7,141.3,3863.80515,27.6075,0.39,3800.993,21.7285,0.6,3866.5659,27.647,0.39,3803.16585,21.7885,0.5,57.8121500000002,-5.879000000000001,78,18
7,141.4,3866.5659,27.647,0.39,3803.16585,21.7885,0.5,3869.3306,27.686,0.39,3805.3447,21.8385,0.6,58.40005000000019,-5.858499999999999,78,18
7,141.5,3869.3306,27.686,0.39,3805.3447,21.8385,0.6,3872.0992,27.7255,0.39,3807.52855,21.898000000000003,0.5,58.985899999999674,-5.8475,78,18
7,141.6,3872.0992,27.7255,0.39,3807.52855,21.898000000000003,0.5,3874.87175,27.7645,0.39,3809.71835,21.948,0.5,59.570650000000114,-5.827499999999997,78,18
7,141.7,3874.87175,27.7645,0.39,3809.71835,21.948,0.5,3877.6482,27.8035,0.3,3811.91315,21.998,0.59,60.15339999999969,-5.816500000000001,78,18
7,141.8,3877.6482,27.8035,0.3,3811.91315,21.998,0.59,3880.42855,27.833000000000002,0.29,3814.11295,22.0575,0.5,60.73505000000023,-5.8054999999999986,78,18
7,141.9,3880.42855,27.833000000000002,0.29,3814.11295,22.0575,0.5,3883.21185,27.862,0.3,3816.3187,22.1075,0.5,61.315599999999904,-5.775500000000001,78,18
7,142.0,3883.21185,27.862,0.3,3816.3187,22.1075,0.5,3885.99805,27.8915,0.29,3818.52945,22.156999999999996,0.4,61.89315000000033,-5.754499999999997,78,18
7,142.1,3885.99805,27.8915,0.29,3818.52945,22.156999999999996,0.4,3888.7872,27.9205,0.29,3820.74515,22.197,0.5,62.46860000000015,-5.734500000000004,78,18
7,142.2,3888.7872,27.9205,0.29,3820.74515,22.197,0.5,3891.57925,27.9495,0.29,3822.96485,22.2465,0.5,63.04205000000002,-5.723500000000001,78,18
7,142.3,3891.57925,27.9495,0.29,3822.96485,22.2465,0.5,3894.3742,27.979,0.19,3825.1895,22.296,0.39,63.61439999999993,-5.702999999999999,78,18
7,142.4,3894.3742,27.979,0.19,3825.1895,22.296,0.39,3897.1721,27.998,0.29,3827.4191,22.3355,0.5,64.18470000000025,-5.683,78,18
7,142.5,3897.1721,27.998,0.29,3827.4191,22.3355,0.5,3899.9719,28.0275,0.19,3829.65265,22.385,0.39,64.7529999999997,-5.662500000000001,78,18
7,142.6,3899.9719,28.0275,0.19,3829.65265,22.385,0.39,3902.77465,28.0465,0.3,3831.89115,22.4245,0.4,65.31925000000001,-5.642499999999998,78,18
7,142.7,3902.77465,28.0465,0.3,3831.89115,22.4245,0.4,3905.5793,28.076,0.19,3834.1336,22.464000000000002,0.4,65.88349999999991,-5.622000000000003,78,18
7,142.8,3905.5793,28.076,0.19,3834.1336,22.464000000000002,0.4,3908.3869,28.0955,0.2,3836.38,22.504,0.5,66.44569999999976,-5.611999999999998,78,18
7,142.9,3908.3869,28.0955,0.2,3836.38,22.504,0.5,3911.19645,28.115,0.19,3838.6304,22.5535,0.4,67.00689999999986,-5.5915,78,18
7,143.0,3911.19645,28.115,0.19,3838.6304,22.5535,0.4,3914.00795,28.134,0.19,3840.88575,22.593000000000004,0.39,67.5660499999999,-5.561499999999999,78,18
7,143.1,3914.00795,28.134,0.19,3840.88575,22.593000000000004,0.39,3916.82135,28.1535,0.1,3843.14505,22.6325,0.4,68.12220000000025,-5.540999999999997,78,18
7,143.2,3916.82135,28.1535,0.1,3843.14505,22.6325,0.4,3919.6367,28.163,0.19,3845.4083,22.6725,0.4,68.67630000000008,-5.521000000000001,78,18
7,143.3,3919.6367,28.163,0.19,3845.4083,22.6725,0.4,3922.453,28.1825,0.09,3847.67555,22.712,0.4,69.22839999999997,-5.490500000000001,78,18
7,143.4,3922.453,28.1825,0.09,3847.67555,22.712,0.4,3925.27125,28.1915,0.19,3849.94675,22.752,0.4,69.77745000000004,-5.470500000000001,78,18
7,143.5,3925.27125,28.1915,0.19,3849.94675,22.752,0.4,3928.0904,28.211,0.09,3852.22195,22.791999999999998,0.39,70.32449999999972,-5.4395000000000024,78,18
7,143.6,3928.0904,28.211,0.09,3852.22195,22.791999999999998,0.39,3930.9115,28.2205,0.1,3854.50115,22.8315,0.4,70.86844999999994,-5.4190000000000005,78,18
