run_no,timestamp,xLeaderReal,vLeaderReal,aLeaderReal,xFollowerReal,vFollowerReal,aFollowerReal,xLeaderReal_next,vLeaderReal_next,aLeaderReal_next,xFollowerReal_next,vFollowerReal_next,aFollowerReal_next,spacing,speed_difference,follower_id,leader_id
21,171.0,4284.7589,23.3615,0.17,4265.90275,22.0145,0.17,4287.09505,23.3785,0.17,4268.1042,22.031999999999996,0.23,13.856149999999616,-1.3469999999999978,88,71
21,171.1,4287.09505,23.3785,0.17,4268.1042,22.031999999999996,0.23,4289.4329,23.3955,0.21,4270.3074,22.0545,0.22,13.990850000000137,-1.3465000000000025,88,71
21,171.2,4289.4329,23.3955,0.21,4270.3074,22.0545,0.22,4291.77245,23.4165,0.16,4272.51285,22.0765,0.17,14.125500000000102,-1.3409999999999975,88,71
21,171.3,4291.77245,23.4165,0.16,4272.51285,22.0765,0.17,4294.1141,23.433000000000003,0.11,4274.7205,22.093000000000004,0.11,14.259600000000319,-1.3399999999999999,88,71
21,171.4,4294.1141,23.433000000000003,0.11,4274.7205,22.093000000000004,0.11,4296.4574,23.44400000000001,0.1,4276.9298,22.104,0.15,14.393599999999424,-1.3399999999999999,88,71
21,171.5,4296.4574,23.44400000000001,0.1,4276.9298,22.104,0.15,4298.8018,23.4545,0.06,4279.1402,22.1195,0.11,14.527600000000348,-1.3400000000000105,88,71
21,171.6,4298.8018,23.4545,0.06,4279.1402,22.1195,0.11,4301.14725,23.4605,0.0,4281.35215,22.1305,0.05,14.661600000000362,-1.3350000000000009,88,71
21,171.7,4301.14725,23.4605,0.0,4281.35215,22.1305,0.05,4303.4933,23.4605,0.0,4283.5652,22.1355,0.11,14.795100000000275,-1.3299999999999983,88,71
21,171.8,4303.4933,23.4605,0.0,4283.5652,22.1355,0.11,4305.83935,23.4605,0.0,4285.77875,22.146,0.1,14.928100000000086,-1.3249999999999993,88,71
21,171.9,4305.83935,23.4605,0.0,4285.77875,22.146,0.1,4308.1854,23.4605,0.0,4287.99335,22.1565,0.1,15.060599999999795,-1.314499999999999,88,71
